Package ID,Package,Fluid Ounces Per Case,Case Equiv Description,Case Weight in Lbs,Case Equiv,Wholesale Units per Case,Retail Units per Case,Consumable Units per Case,Servings per Case,Selling Unit Of Measure,Container Type,Pick Units Per Case
7,1/1/1014.00 oz,1014,Beer,161,3.520833,1,1,1,1,3) Case (CA),Aluminum Can,1
8,1/1/1152.00 oz,1152,Beer,30,4,1,1,1,1,3) Case (CA),Aluminum Can,1
9,1/1/1382.00 oz,1382,Beer,30,4.798611,1,1,1,1,3) Case (CA),Aluminum Can,1
11,1/1/170.00 oz,170,Beer,30,0.590278,1,1,1,1,3) Case (CA),Aluminum Can,1
12,1/1/192.00 oz,192,Beer,160,0.666667,1,1,1,1,3) Case (CA),Aluminum Can,1
14,1/1/204.00 oz,204,Beer,30,0.708333,1,1,1,1,3) Case (CA),Aluminum Can,1
15,1/1/25.00 oz,25,Beer,165,0.086806,1,1,1,1,3) Case (CA),Aluminum Can,1
16,1/1/264.00 oz,264,Beer,20.50,0.916667,1,1,1,1,3) Case (CA),Aluminum Can,1
17,1/1/288.00 oz,288,Beer,20.50,1,1,1,1,1,3) Case (CA),Aluminum Can,1
18,1/1/305.00 oz,305,Beer,20.50,1.059028,1,1,1,1,3) Case (CA),Aluminum Can,1
19,1/1/336.00 oz,336,Beer,20.50,1.166667,1,1,1,1,3) Case (CA),Aluminum Can,1
20,1/1/384.00 oz,384,Beer,20.50,1.333333,1,1,1,1,3) Case (CA),Aluminum Can,1
25,1/1/846.00 oz,846,Beer,20,2.9375,1,1,1,1,3) Case (CA),Aluminum Can,1
450,1/10/16.9oz Can,169,Beer,12.28,0.586806,1,1,10,10,3) Case (CA),Aluminum Can,1
27,1/10/29.80 oz,298,Beer,30,1.034722,1,1,10,1,3) Case (CA),Aluminum Can,1
464,1/10/50 ML (Sleeve),152.40,Wine & Liquor,19.20,0.083463,6,60,60,60,4) Bottle (BO),PET Bottle,1
