Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,Distribution Area,County,City,Area,Premise,Buyer Count   2026,Cases   2026
Alisa Acciardi,150300,Obals Inn,439 Broad St,Essex,Essex,Bloomfield,Essex,On Premise,1.00,203.00
Alisa Acciardi,150302,The Blue Steel Pizza Co.,285 Glenwood Ave,Essex,Essex,Bloomfield,Essex,On Premise,1.00,3015.20
Alisa Acciardi,150305,Six Points Pub,574 Bloomfield Ave,Essex,Essex,Bloomfield,Essex,On Premise,1.00,142.00
Alisa Acciardi,150400,Liquor City,481 Washington Ave,Essex,Essex,Belleville,Essex,Off Premise,1.00,347.00
Alisa Acciardi,150611,Jim Dandy's,563 Franklin Ave,Essex,Essex,Nutley,Essex,On Premise,1.00,39.00
Alisa Acciardi,152026,Mulberry Liquors,327 Mulberry St,Essex,Essex,Newark,Essex,Off Premise,1.00,79.00
Alisa Acciardi,152037,The Deep Inn,60 Pulaski St,Essex,Essex,Newark,Essex,On Premise,1.00,12.00
Alisa Acciardi,152039,Cottage Liquors,25-29 Cottage St,Essex,Essex,Newark,Essex,Off Premise,1.00,489.00
Alisa Acciardi,152040,Top Shelf Wine & Liquor,1 Raymond Plaza West,Essex,Essex,Newark,Essex,Off Premise,1.00,200.00
Alisa Acciardi,170004,Liquor Warehouse,300-306 Passaic Ave,Hudson,Hudson,East Newark,Hudson,Off Premise,1.00,165.00
Alisa Acciardi,170035,Steves Liquors (P),219 Harrison Avenue,Hudson,Hudson,Harrison,Hudson,Off Premise,1.00,77.00
Alisa Acciardi,170038,Harrison Discount Liq(P),416 Frank E Rodgers Blvd,Hudson,Hudson,Harrison,Hudson,Off Premise,1.00,350.00
Alisa Acciardi,170053,Bbb Liquors(Costco),19 Goldsborough Dr,Hudson,Hudson,Bayonne,Hudson,Off Premise,1.00,2158.00
Alisa Acciardi,170056,Golden Beer & Liquor,614 Harrison Avenue,Hudson,Hudson,Harrison,Hudson,Off Premise,1.00,161.00
Alisa Acciardi,170058,Alex Liquors & Deli,200 Grant Ave,Hudson,Hudson,Harrison,Hudson,Off Premise,1.00,91.00
Alisa Acciardi,170061,O'Donnell's (P),233 Harrison Ave,Hudson,Hudson,Harrison,Hudson,On Premise,1.00,2.00
